OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
1117,12304,894,22.28506,114.21337,WESTLANDS GARDENS BLOCK C,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.2,1,0,0,0,0,840028,816235,Eastern,*
1118,12015,506,22.28589,114.21174,SUNWAY GARDENS BLOCK C,11/1/1974 0:00,0,45532,4424,49956,28,50,19120,0.3,1,0,0,0,0,839856,816341,Eastern,*
1119,12971,848,22.28549,114.2128,WESTLANDS GARDENS BLOCK E,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.3,1,0,0,0,0,839964,816294,Eastern,*
1120,13725,510,22.2857,114.21233,SUNWAY GARDENS BLOCK F,11/1/1974 0:00,0,45532,4424,49956,28,50,19120,0.4,1,0,0,0,0,839921,816317,Eastern,*
1121,14705,510,22.28589,114.21174,SUNWAY GARDENS BLOCK C,11/1/1974 0:00,0,45532,4424,49956,28,50,19120,0.3,1,0,0,0,0,839856,816341,Eastern,*
1123,10069,574,22.2859,114.21136,SUNWAY GARDENS BLOCK A,11/1/1974 0:00,0,45532,4424,49956,28,50,19120,0.2,1,0,0,1,0,839823,816327,Eastern,*
1135,11136,431,22.32234,114.16441,SHIU FUNG MANSION,11/1/1974 0:00,0,4522.3,1526.2,6048.5,14,50,20000,0.5,1,0,0,0,0,834990,820364,Yau Tsim Mong,*
1140,13203,515,22.2752,114.23108,BRILLIANT COURT,4/1/1975 0:00,0,4535,0,4535,26,49,17960,0.6,1,0,0,1,0,841850,815153,Eastern,*
1141,11011,425,22.32126,114.16067,TAI WAI BUILDING,5/1/1975 0:00,0,5284.6,1767.7,7052.3,14,49,19500,0.4,1,0,0,1,1,834598,820249,Yau Tsim Mong,*
1144,12404,603,22.29087,114.20109,KING'S TOWERS BLOCK B,12/1/1974 0:00,0,12671.2,5613,18284.2,22,50,30000,0.05,1,0,0,0,0,838766,816883,Eastern,*
1145,12930,563,22.28589,114.21174,SUNWAY GARDENS BLOCK C,11/1/1974 0:00,0,45532,4424,49956,28,50,19120,0.3,1,0,0,0,0,839856,816341,Eastern,*
1148,11607,560,22.32148,114.16707,HANG TUNG BUILDING BLOCK B,3/1/1975 0:00,238,10220.8,5202.4,15423.2,16,50,12920,0.2,1,0,0,0,0,835263,820266,Yau Tsim Mong,*
1154,10655,488,22.29085,114.20424,HARBOUR COURT,5/1/1976 0:00,0,4507.3,349.8,4857.1,24,48,34910,0.4,1,0,0,1,0,839084,816892,Eastern,*
1169,11474,434,22.28005,114.23016,TUNG HING BUILDING,10/1/1975 0:00,0,4406.9,2719.3,7126.2,22,49,32100,0.05,1,0,0,1,0,841758,815688,Eastern,*
1183,11134,970,22.27826,114.22613,HONG WAH MANSION BLOCK 1,11/1/1985 0:00,400,14087.2,2118.8,16206,28,39,34250,0.3,1,0,0,0,0,841346,815488,Eastern,*
1195,15980,413,22.30335,114.17042,LUCKY BUILDING,8/1/1976 0:00,120,4573.9,801.1,5375,16,48,16780,0.2,1,0,0,0,0,835604,818261,Yau Tsim Mong,*
1196,10824,970,22.27826,114.22613,HONG WAH MANSION BLOCK 1,11/1/1985 0:00,400,14087.2,2118.8,16206,28,39,34250,0.3,1,0,0,0,0,841346,815488,Eastern,*
1207,11791,441,22.3053,114.17222,KA SHUN HOUSE,6/1/1976 0:00,0,2493.7,1220.8,3714.5,17,48,38750,0.05,1,0,0,1,0,835789,818480,Yau Tsim Mong,*
1208,12698,441,22.3053,114.17222,KA SHUN HOUSE,6/1/1976 0:00,0,2493.7,1220.8,3714.5,17,48,38750,0.05,1,0,0,1,0,835789,818480,Yau Tsim Mong,*
1214,12672,434,22.28005,114.23016,TUNG HING BUILDING,10/1/1975 0:00,0,4406.9,2719.3,7126.2,22,49,32100,0.05,1,0,0,1,0,841758,815688,Eastern,*
